source,target,weight
1,2,33
2,4,165
4,5,108
5,6,55
6,7,58
7,8,139
8,9,139
9,10,58
10,11,55
11,12,105
12,3,166
3,12,166
12,11,105
11,13,47
13,14,54
14,15,56
15,9,46
9,15,46
15,16,58
16,17,56
17,18,51
18,19,92
19,20,52
20,21,61
21,22,44
22,16,48
16,22,48
22,21,44
21,23,53
23,24,34
24,25,51
25,26,58
26,27,50
27,28,23
28,29,29
29,26,56
26,27,50
27,29,46
29,30,90
30,31,57
31,32,106
32,19,72
19,32,72
32,31,106
31,30,57
30,33,48
33,29,42
29,33,42
33,25,40
25,33,40
33,29,42
29,34,47
34,35,31
35,36,41
36,37,62
37,35,35
35,34,31
34,37,66
37,38,109
38,36,83
36,38,83
38,39,47
39,40,56
40,38,41
38,40,41
40,41,59
41,42,41
42,43,54
43,33,63
33,43,63
43,42,54
42,41,41
41,40,59
40,44,65
44,45,56
45,46,51
46,45,51
45,47,38
47,48,46
48,41,54
41,48,54
48,49,33
49,50,51
50,49,51
49,42,58
42,49,58
49,51,47
51,49,47
49,50,51
50,31,119
31,52,48
52,53,42
53,54,54
54,55,67
55,56,48
56,57,56
57,58,46
58,59,39
59,60,56
60,61,63
61,52,57
52,61,57
61,60,63
60,59,56
59,58,39
58,57,46
57,62,41
62,63,47
63,64,36
64,65,31
65,66,47
66,67,41
67,68,38
68,69,57
69,70,38
70,71,36
71,66,60
66,72,123
72,73,36
73,74,36
74,73,36
73,70,65
70,73,65
73,75,43
75,76,44
76,72,49
72,76,49
76,75,44
75,77,51
77,78,43
78,79,33
79,80,58
80,81,59
81,82,56
82,81,56
81,83,37
83,84,74
84,76,53
76,84,53
84,78,75
78,84,75
84,83,74
83,85,34
85,86,58
86,87,36
87,82,35
82,87,35
87,86,36
86,88,41
88,89,49
89,76,61
76,89,61
89,88,49
88,90,86
90,91,58
91,92,37
92,93,28
93,94,27
94,90,58
90,93,85
93,90,85
90,95,66
95,91,70
91,90,58
90,88,86
88,96,114
96,97,89
97,98,77
98,99,79
99,100,87
100,101,111
101,100,111
100,102,83
102,98,95
98,102,95
102,96,89
96,102,89
102,98,95
98,99,79
99,100,87
100,103,50
103,110,102
110,109,49
109,108,55
108,107,114
107,106,88
106,105,50
105,104,49
104,103,97
103,100,50
100,99,87
99,98,79
98,111,63
111,112,40
112,114,42
114,115,65
115,113,38
113,112,61
112,113,61
113,116,79
116,115,77
115,116,77
116,117,108
117,118,45
118,117,45
117,119,114
119,120,85
120,119,85
119,121,62
121,122,46
122,120,59
120,122,59
122,123,48
123,124,43
124,125,65
125,126,75
126,127,39
127,126,39
126,128,74
128,129,89
129,130,62
130,131,49
131,129,57
129,131,57
131,132,49
132,133,51
133,134,41
134,135,46
135,130,46
130,135,46
135,134,46
134,136,95
136,137,98
137,138,61
138,139,64
139,117,98
117,140,97
140,141,59
141,142,55
142,136,96
136,143,42
143,133,94
133,144,186
144,145,39
145,136,93
136,145,93
145,146,51
146,147,61
147,141,42
141,148,83
148,149,36
149,150,51
150,111,66
111,150,66
150,151,57
151,152,51
152,153,64
153,152,64
152,105,47
105,152,47
152,154,41
154,155,67
155,144,57
144,155,57
155,153,40
153,145,58
145,144,39
144,143,94
143,1,39
1,2,33
2,156,50
156,157,77
157,158,113
158,156,40
156,158,40
158,159,102
159,160,136
160,161,44
161,160,44
160,162,47
162,163,90
163,164,63
164,165,91
165,160,107
160,165,107
165,166,90
166,165,90
165,164,91
164,167,43
167,168,55
168,169,29
169,170,29
170,171,29
171,172,36
172,173,46
173,174,63
174,175,58
175,165,31
165,175,31
175,174,58
174,170,48
170,171,29
171,172,36
172,173,46
173,176,52
176,177,60
177,178,32
178,176,54
176,178,54
178,179,36
179,180,36
180,177,34
177,180,34
180,181,62
181,182,60
182,183,56
183,167,58
167,168,55
168,169,29
169,170,29
170,174,48
174,175,58
175,165,31
165,166,90
166,184,40
184,185,47
185,184,47
184,186,53
186,187,46
187,188,50
188,189,49
189,174,41
174,189,41
189,190,64
190,191,54
191,188,55
188,191,55
191,192,53
192,187,56
187,192,56
192,193,61
193,194,59
194,195,32
195,193,65
193,195,65
195,196,64
196,194,58
194,196,58
196,176,53
176,190,96
190,191,54
191,192,53
192,193,61
193,192,61
192,191,53
191,188,55
188,189,49
189,185,49
185,184,47
184,186,53
186,187,46
187,192,56
192,193,61
193,197,60
197,198,56
198,199,66
199,200,79
200,201,42
201,202,43
202,203,40
203,204,40
204,205,45
205,204,45
204,203,40
203,202,40
202,201,43
201,200,42
200,199,79
199,198,66
198,197,56
197,206,151
206,207,91
207,206,91
206,208,34
208,166,95
166,208,95
208,209,104
209,208,104
208,166,95
166,165,90
165,164,91
164,210,44
210,211,41
211,212,82
212,213,72
213,214,62
214,215,65
215,5,55
5,215,55
215,216,46
216,217,55
217,7,49
7,217,49
217,218,77
218,219,77
219,220,64
220,221,60
221,222,47
222,211,57
211,222,57
222,221,47
221,223,62
223,224,82
224,225,102
225,226,76
226,227,57
227,228,50
228,229,55
229,230,49
230,227,56
227,230,56
230,231,33
231,225,62
225,232,102
232,233,44
233,224,58
224,233,58
233,234,41
234,221,45
221,234,45
234,224,87
224,234,87
234,223,105
223,234,105
234,235,59
235,236,42
236,237,61
237,238,97
238,229,60
229,238,60
238,239,58
239,238,58
238,181,72
181,182,60
182,183,56
183,167,58
167,164,43
164,163,63
163,162,90
162,160,47
160,159,136
159,158,102
158,156,40
156,2,50
2,1,33
1,3,33
3,240,55
240,241,68
241,144,39
144,241,39
241,143,55
143,241,55
241,240,68
240,242,97
242,243,78
243,12,38
12,243,38
243,3,128
3,1,33
1,143,39
143,241,55
241,144,39
144,155,57
155,154,67
154,152,41
152,105,47
105,104,49
104,103,97
103,100,50
100,101,111
101,64,37
64,65,31
65,66,47
66,71,60
71,72,63
72,76,49
76,89,61
89,85,40
85,89,40
89,76,61
76,72,49
72,71,63
71,66,60
66,65,47
65,64,31
64,63,36
63,58,42
58,59,39
59,60,56
60,61,63
61,52,57
52,31,48
31,50,119
50,47,34
47,48,46
48,49,33
49,51,47
51,30,78
30,31,57
31,32,106
32,19,72
19,18,92
18,13,59
13,11,47
11,12,105
12,4,61
4,5,108
5,215,55
215,214,65
214,213,62
213,212,72
212,211,82
211,210,41
210,164,44
164,165,91
165,166,90
166,184,40
184,188,47
188,189,49
189,190,64
190,173,44
173,174,63
174,175,58
175,165,31
165,160,107
160,159,136
159,158,102
158,156,40
156,2,50
2,1,33
1,143,39
143,241,55
241,144,39
144,155,57
155,154,67
154,152,41
152,105,47
105,104,49
104,103,97
103,110,102
110,109,49
109,108,55
108,59,75
59,58,39
58,63,42
63,64,36
64,65,31
65,66,47
66,71,60
71,244,54
244,72,67
